ama-1	Adult,Embryo	+	ce10
capg-1	Embryo	+	ce10
capg-2	Embryo	+	ce10
cec-3	Adult	+	ce10
daf-16	Adult	+	ce10
dpl-1	Larvae	+	ce10
dpy-26	Embryo	+	ce10
dpy-27	Embryo,Larvae	+	ce10
dpy-28	Embryo	+	ce10
efl-1	Larvae	+	ce10
epc-1	Larvae	+	ce10
hcp-6	Embryo	+	ce10
imb-1	Embryo	+	ce10
kle-2	Embryo,Larvae	+	ce10
lem-2	Embryo	+	ce10
lin-35	Larvae	+	ce10
lin-37	Larvae	+	ce10
lin-42	Others	+	ce10
lin-52	Larvae	+	ce10
lin-53	Larvae	+	ce10
lin-54	Larvae	+	ce10
lin-9	Larvae	+	ce10
mab-5	Larvae	+	ce10
mix-1	Embryo	+	ce10
npp-13	Embryo	+	ce10
npp-3	Embryo	+	ce10
pqn-85	Embryo	+	ce10
sdc-3	Larvae	+	ce10
smc-4	Embryo	+	ce10
tbp-1	Embryo	+	ce10
tra-1	Adult,Larvae	+	ce10
AGO2	Cell line	+	dm3
BEAF-32	Cell line,Larvae	+	dm3
CBP	Adult,Embryo,Larvae,Pupae	+	dm3
CDC45L	Adult	+	dm3
CG4747	Larvae	+	dm3
CG7099	Cell line	+	dm3
CG7928	Cell line	+	dm3
CG8478	Cell line,Embryo	+	dm3
CTCF	Cell line,Embryo,Pupae	+	dm3
Cap-H2	Cell line	+	dm3
Cp190	Cell line,Embryo,Larvae	+	dm3
D	Embryo	+	dm3
Dfd	Embryo	+	dm3
Dp1	Cell line	+	dm3
Dref	Cell line	+	dm3
Dsp1	Embryo	+	dm3
E(z)	Embryo	+	dm3
HDAC4	Embryo	+	dm3
HDAC6	Embryo	+	dm3
Hdac3	Embryo	+	dm3
HdacX	Embryo	+	dm3
Hr39	Embryo	+	dm3
Hsp83	Cell line	+	dm3
Ibf1	Cell line	+	dm3
Ibf2	Cell line	+	dm3
Ice1	Cell line	+	dm3
JIL-1	Cell line,Larvae	+	dm3
Jarid2	Larvae	+	dm3
Kr	Embryo	+	dm3
Lgr1	Cell line	+	dm3
Lpt	Cell line	+	dm3
Max	Cell line	+	dm3
Orc2	Larvae	+	dm3
Pc	Cell line,Embryo	+	dm3
Pcl	Embryo	+	dm3
Psc	Cell line	+	dm3
Rpd3	Embryo	+	dm3
Rrp40	Cell line	+	dm3
Rrp6	Cell line	+	dm3
Sin3A	Embryo	+	dm3
Su(H)	Embryo	+	dm3
Su(Tpl)	Cell line	+	dm3
Su(var)205	Adult,Embryo	+	dm3
Su(z)12	Embryo,Larvae	+	dm3
SuUR	Adult	+	dm3
Tbp	Embryo	+	dm3
Trf2	Embryo	+	dm3
Trl	Cell line,Embryo,Larvae,Pupae	+	dm3
Utx	Cell line	+	dm3
ab	Larvae	+	dm3
aop	Embryo	+	dm3
ash1	Cell line	+	dm3
ash2	Larvae	+	dm3
bcd	Embryo	+	dm3
brk	Larvae	+	dm3
cad	Embryo	+	dm3
disco	Embryo	+	dm3
dl	Embryo	+	dm3
dm	Cell line	+	dm3
elav	Embryo	+	dm3
eve	Embryo	+	dm3
exd	Embryo	+	dm3
fs(1)h	Cell line	+	dm3
gt	Embryo	+	dm3
hb	Embryo	+	dm3
kni	Embryo	+	dm3
l(3)mbt	Cell line,Larvae	+	dm3
lid	Larvae	+	dm3
lilli	Cell line	+	dm3
lmd	Embryo	+	dm3
mle	Cell line	+	dm3
mod(mdg4)	Cell line	+	dm3
mof	Cell line,Larvae	+	dm3
msl-1	Cell line	+	dm3
msl-2	Cell line	+	dm3
msl-3	Cell line,Larvae	+	dm3
ph-d	Cell line,Embryo	+	dm3
pho	Embryo	+	dm3
pita	Cell line	+	dm3
rhi	Adult	+	dm3
rump	Cell line	+	dm3
shep	Cell line	+	dm3
smt3	Cell line	+	dm3
so	Larvae	+	dm3
su(Hw)	Adult,Cell line	+	dm3
trem	Adult	+	dm3
trr	Cell line	+	dm3
trx	Cell line	+	dm3
twi	Embryo	+	dm3
velo	Cell line	+	dm3
vfl	Embryo	+	dm3
vtd	Cell line	+	dm3
yki	Cell line,Embryo,Larvae	+	dm3
ADNP2	Digestive tract	+	hg19
AFF1	-	+	hg19
AFF4	Digestive tract,Kidney,Uterus	+	hg19
AGO1	Breast,Prostate	+	hg19
AGO2	Prostate	+	hg19
AHCTF1	Digestive tract	+	hg19
AHR	Breast	+	hg19
AR	Breast,Kidney,Others,Prostate	+	hg19
ARID3A	Liver	+	hg19
ARNT	Breast	+	hg19
ARNT2	Digestive tract	+	hg19
ARNTL	Breast,Digestive tract,Kidney	+	hg19
ARNTL2	Digestive tract	+	hg19
ARRB1	Lung,Prostate	+	hg19
ASCL1	Epidermis,Others	+	hg19
ASF1A	Uterus	+	hg19
ASH1L	Digestive tract	+	hg19
ATF1	-	+	hg19
ATF2	Digestive tract,Pluripotent stem cell	+	hg19
ATF3	Digestive tract,Liver,Lung,Neural,Pluripotent stem cell	+	hg19
ATF6	Digestive tract	+	hg19
ATF7	Digestive tract	+	hg19
ATF7IP	Epidermis	+	hg19
ATRX	-	+	hg19
BACH1	Digestive tract,Pluripotent stem cell	+	hg19
BACH2	-	+	hg19
BARX1	Digestive tract	+	hg19
BATF	-	+	hg19
BATF3	Digestive tract	+	hg19
BBX	Digestive tract	+	hg19
BCL10	Lung	+	hg19
BCL11A	Breast,Digestive tract,Pluripotent stem cell	+	hg19
BCL3	Lung	+	hg19
BCL6	Digestive tract	+	hg19
BCLAF1	-	+	hg19
BCOR	-	+	hg19
BDP1	Lung,Uterus	+	hg19
BHLHE40	Digestive tract,Liver,Lung	+	hg19
BHLHE41	Digestive tract	+	hg19
BMI1	Digestive tract,Kidney,Neural,Prostate	+	hg19
BRCA1	Breast,Digestive tract,Liver,Pluripotent stem cell,Uterus	+	hg19
BRD1	Digestive tract	+	hg19
BRD2	Pluripotent stem cell,Prostate	+	hg19
BRD3	Pluripotent stem cell,Prostate	+	hg19
BRD4	Breast,Cardiovascular,Epidermis,Kidney,Lung,Neural,Others,Pluripotent stem cell,Prostate,Uterus	+	hg19
BRD7	Epidermis	+	hg19
BRF1	Lung,Uterus	+	hg19
BRF2	Lung,Uterus	+	hg19
C10orf12	Kidney	+	hg19
C17orf49	Uterus	+	hg19
C17orf96	Kidney	+	hg19
CAMTA1	Digestive tract	+	hg19
CASP8AP2	Digestive tract	+	hg19
CBFA2T3	-	+	hg19
CBFB	-	+	hg19
CBX2	Kidney	+	hg19
CBX3	Digestive tract	+	hg19
CBX4	Kidney	+	hg19
CBX5	Breast	+	hg19
CBX6	Breast,Epidermis	+	hg19
CBX7	Breast,Epidermis	+	hg19
CBX8	Breast,Epidermis	+	hg19
CCDC101	Uterus	+	hg19
CCNT2	-	+	hg19
