gene_id	WT_1	WT_2	WT_3	ref6_1	ref6_2	ref6_3
AT1G01010	217	232	220	153	200	209
AT1G01020	133	91	108	123	103	105
AT1G01030	37	40	20	52	47	48
AT1G01040	753	704	663	686	681	614
AT1G01046	9	8	3	6	2	5
AT1G01050	999	987	928	943	869	758
AT1G01060	288	272	197	52	72	77
AT1G01070	142	96	117	80	79	103
AT1G01080	803	798	723	792	765	701
AT1G01090	1729	1726	1600	2011	1712	1471
AT1G01100	1403	1324	1263	1422	1281	1264
AT1G01110	94	75	83	84	101	69
AT1G01120	499	610	502	425	456	448
AT1G01130	24	30	30	24	35	31
AT1G01140	811	1105	745	551	882	991
AT1G01150	0	1	3	0	0	0
AT1G01160	503	502	476	490	446	408
AT1G01170	421	473	359	441	457	419
AT1G01180	162	155	136	146	169	143
AT1G01183	1	0	1	0	0	0
AT1G01190	474	238	253	238	171	195
AT1G01200	29	26	23	32	21	25
AT1G01210	140	125	117	105	106	109
AT1G01220	393	386	324	454	438	382
AT1G01225	36	32	40	53	37	35
AT1G01230	294	285	292	272	241	239
AT1G01240	286	301	252	416	336	349
AT1G01250	11	24	12	10	8	5
AT1G01260	322	309	256	270	269	296
AT1G01270	0	0	0	0	0	0
AT1G01280	0	0	0	0	0	0
AT1G01290	242	252	218	220	213	206
AT1G01300	850	791	847	964	848	775
AT1G01305	1	0	0	0	0	0
AT1G01310	0	5	0	0	1	0
AT1G01320	6239	5339	5037	5675	5252	4941
AT1G01335	0	0	0	0	0	0
AT1G01340	254	248	245	143	177	175
AT1G01350	407	363	387	321	332	387
AT1G01355	1	0	0	1	1	2
AT1G01360	206	236	197	155	156	139
AT1G01370	55	51	45	62	31	33
AT1G01380	31	35	41	16	26	28
AT1G01390	39	24	25	44	48	27
AT1G01400	0	0	0	0	0	0
AT1G01410	0	0	0	0	0	0
AT1G01420	116	142	130	90	82	75
AT1G01430	584	621	601	686	621	572
AT1G01440	400	441	398	339	371	355
AT1G01448	116	139	101	134	127	121
AT1G01450	0	0	0	0	0	0
AT1G01453	44	11	28	30	11	14
AT1G01460	0	0	0	0	0	0
AT1G01470	1227	1743	1118	742	726	735
AT1G01480	88	108	61	30	56	67
AT1G01490	1291	1329	1251	788	859	948
AT1G01500	203	217	204	205	183	188
AT1G01510	546	576	492	522	469	456
AT1G01520	15	18	11	2	6	4
AT1G01530	2	1	2	1	4	0
AT1G01540	799	882	831	689	693	791
AT1G01550	2238	2573	2206	1795	2047	1931
AT1G01560	127	410	129	29	54	118
AT1G01570	22	19	16	15	23	23
AT1G01580	20	29	23	23	14	31
AT1G01590	0	2	0	2	1	1
AT1G01600	105	118	111	106	123	126
AT1G01610	677	726	755	690	676	620
AT1G01620	2588	2865	2701	2932	2902	2861
AT1G01630	659	671	684	582	593	579
AT1G01640	137	152	129	92	84	108
AT1G01650	594	573	511	463	393	454
AT1G01660	72	43	38	15	8	9
AT1G01670	20	20	26	0	1	1
AT1G01680	38	71	40	5	16	27
AT1G01690	88	85	77	90	78	74
AT1G01695	2	4	0	2	2	4
AT1G01700	19	18	20	28	26	21
AT1G01710	612	694	572	513	546	517
AT1G01715	30	54	44	31	25	33
AT1G01720	681	717	598	478	494	573
AT1G01725	37	41	33	39	25	24
AT1G01730	204	246	213	192	182	173
AT1G01740	108	114	114	110	118	83
AT1G01750	96	46	66	41	40	24
AT1G01760	55	49	47	55	51	47
AT1G01770	354	352	330	405	339	358
AT1G01780	266	218	220	210	154	174
AT1G01790	1921	1934	1526	1767	1622	1424
AT1G01800	740	823	621	595	570	547
AT1G01810	6	10	8	6	7	5
AT1G01820	817	871	820	725	813	779
AT1G01830	456	439	346	323	264	247
AT1G01840	1	1	0	1	1	0
AT1G01860	128	132	131	183	155	123
AT1G01870	0	0	0	0	0	0
AT1G01880	32	36	33	37	29	26
AT1G01890	0	0	0	0	0	0
AT1G01900	38	67	45	39	48	39
AT1G01910	620	657	620	581	634	547
AT1G01920	271	356	307	280	277	290
AT1G01930	251	290	216	220	206	224
AT1G01940	267	331	305	202	269	227
AT1G01950	332	372	311	346	356	313
AT1G01960	1743	1789	1601	1633	1558	1479
AT1G01970	315	271	239	313	291	282
AT1G01980	0	0	0	0	0	1
AT1G01990	298	289	276	263	257	290
AT1G02000	201	195	201	150	161	169
AT1G02010	184	151	127	174	166	127
AT1G02020	194	217	214	210	203	188
AT1G02030	9	11	12	7	1	5
AT1G02040	3	0	3	0	3	0
AT1G02050	124	106	111	103	111	99
AT1G02060	139	123	127	150	124	111
AT1G02065	17	18	19	29	20	26
AT1G02067	0	0	0	0	0	0
AT1G02070	2	9	1	6	5	5
AT1G02080	2814	2370	2128	2148	2311	2080
AT1G02090	665	600	586	614	578	516
AT1G02100	544	654	573	439	524	483
AT1G02110	322	327	298	335	295	261
AT1G02120	1367	1450	1309	1070	1101	1143
AT1G02130	550	532	513	512	503	494
AT1G02140	667	704	633	601	581	578
AT1G02145	308	320	264	283	309	278
AT1G02150	1075	1051	954	1216	1100	1027
AT1G02160	132	162	125	129	128	118
AT1G02170	495	567	497	429	457	465
AT1G02180	39	31	30	50	33	44
AT1G02190	1	2	3	5	7	9
AT1G02205	283	297	232	256	280	330
AT1G02210	0	0	0	0	0	0
AT1G02220	487	431	436	69	139	125
AT1G02230	40	70	31	3	6	3
AT1G02250	2	1	0	0	1	2
AT1G02260	229	218	200	114	130	109
AT1G02270	356	408	340	346	386	407
AT1G02280	643	687	604	848	712	738
AT1G02290	145	139	135	154	145	156
AT1G02300	276	301	326	430	353	325
AT1G02305	1550	1288	1353	1149	1140	1218
AT1G02310	73	68	45	13	9	31
AT1G02320	0	0	0	0	0	0
AT1G02330	441	465	398	372	404	384
AT1G02335	190	210	162	188	152	161
AT1G02340	114	79	96	116	121	129
AT1G02350	16	11	16	15	16	17
AT1G02360	335	327	358	315	403	296
AT1G02370	119	128	110	132	134	108
AT1G02380	50	64	48	26	32	30
AT1G02390	179	249	108	39	58	69
AT1G02400	185	190	146	86	117	121
AT1G02405	1	7	1	3	0	0
AT1G02410	316	307	280	214	241	240
AT1G02420	24	24	16	21	14	30
AT1G02430	5	9	13	13	14	11
AT1G02440	13	11	16	5	7	3
AT1G02450	19	71	33	14	18	20
AT1G02460	86	57	42	27	21	40
AT1G02470	99	114	65	24	48	80
AT1G02475	539	618	514	630	601	613
AT1G02480	0	0	0	0	0	0
AT1G02490	2	1	2	0	1	0
AT1G02500	7134	7848	7119	6447	6907	6196
AT1G02510	0	0	3	0	0	0
AT1G02520	491	490	375	262	369	348
AT1G02530	9	4	5	18	10	7
AT1G02540	0	0	0	0	0	0
AT1G02550	0	0	1	0	0	0
AT1G02560	2563	2628	2197	2746	2456	2458
AT1G02570	44	24	23	18	11	10
AT1G02575	15	4	10	2	2	2
AT1G02580	9	12	4	5	10	13
AT1G02590	0	0	0	0	0	0
AT1G02600	0	0	0	0	0	0
AT1G02610	66	109	147	69	152	150
AT1G02620	3	1	2	1	2	3
AT1G02630	2	1	0	4	2	5
AT1G02640	127	174	211	271	338	348
AT1G02650	30	27	31	34	18	18
AT1G02660	212	638	442	316	573	770
AT1G02670	27	47	34	36	34	44
AT1G02680	175	171	137	131	130	140
AT1G02690	224	245	267	246	212	226
AT1G02700	9	11	13	14	9	7
AT1G02705	8	1	3	6	2	10
AT1G02710	0	0	0	0	0	0
AT1G02720	156	175	156	194	181	169
AT1G02730	636	616	526	749	565	567
AT1G02740	124	155	143	150	152	179
AT1G02750	203	194	185	163	183	165
AT1G02760	0	0	0	0	0	0
AT1G02770	12	12	8	7	5	8
AT1G02780	7624	6730	6891	7356	6422	6076
AT1G02790	0	0	0	0	0	0
AT1G02800	36	52	41	36	19	24
AT1G02810	251	234	235	228	220	200
AT1G02813	2	2	0	1	2	1
AT1G02816	179	163	137	126	136	151
AT1G02820	68	53	49	14	8	18
AT1G02830	0	0	0	0	0	0
AT1G02840	1684	1795	1494	1639	1514	1369
AT1G02850	1125	1172	862	709	851	1278
AT1G02860	146	145	186	177	186	211
AT1G02870	270	264	226	265	235	268
AT1G02880	434	378	316	295	316	307
AT1G02890	1945	2110	1908	1748	1912	1731
AT1G02900	381	369	377	315	358	298
AT1G02910	635	609	588	626	590	542
AT1G02920	5209	6848	4987	2443	3200	3256
AT1G02930	3821	4969	3579	2180	2609	2245
AT1G02940	9	5	11	2	2	4
AT1G02950	75	49	42	59	48	48
AT1G02952	0	1	0	0	0	0
AT1G02960	287	304	280	324	275	275
AT1G02965	0	0	1	0	0	0
AT1G02970	55	50	48	44	27	48
AT1G02980	5	10	5	5	2	5
AT1G02990	428	438	344	360	357	360
AT1G03000	499	568	470	505	531	475
AT1G03010	35	31	43	41	35	21
AT1G03020	32	43	18	29	18	47
AT1G03030	271	269	269	283	285	282
AT1G03040	824	834	729	716	773	712
AT1G03050	0	1	0	0	0	1
AT1G03055	37	42	27	36	25	34
AT1G03060	1458	1156	1027	1179	1046	1012
AT1G03070	32	19	29	16	15	17
AT1G03080	2455	2662	2025	1638	1704	1883
AT1G03090	408	468	559	543	538	590
AT1G03100	31	21	22	21	33	21
AT1G03103	0	0	0	0	0	0
AT1G03106	1	0	0	4	1	0
AT1G03110	176	128	159	187	177	127
AT1G03120	7	7	4	11	7	7
AT1G03130	3795	5938	4033	5919	5663	5211
AT1G03140	691	750	667	677	719	658
AT1G03150	170	209	164	185	176	164
AT1G03160	810	825	713	856	881	807
AT1G03165	1	3	4	3	1	2
AT1G03170	13	21	9	12	15	21
AT1G03180	34	44	42	43	51	40
AT1G03190	199	220	177	193	203	158
AT1G03200	26	30	34	19	20	20
AT1G03210	347	283	268	231	223	198
AT1G03220	3951	4004	4105	2972	3714	3706
AT1G03230	735	740	767	702	678	673
AT1G03240	2	1	0	1	2	1
AT1G03250	509	478	392	365	333	378
AT1G03260	121	164	161	125	124	100
AT1G03270	64	65	38	60	60	52
AT1G03280	701	693	545	590	558	556
AT1G03290	642	686	604	429	506	501
AT1G03300	0	0	0	0	0	0
AT1G03310	576	728	472	807	683	610
AT1G03320	3	2	5	2	1	0
AT1G03325	0	0	0	0	0	0
AT1G03330	379	398	330	319	281	318
AT1G03340	48	40	36	20	35	24
AT1G03350	702	667	637	527	537	555
AT1G03360	150	155	134	139	135	155
AT1G03365	397	405	349	360	354	329
AT1G03370	862	945	857	576	687	703
AT1G03380	816	827	741	764	700	704
AT1G03390	0	0	0	0	0	1
AT1G03395	0	0	0	0	0	0
AT1G03400	366	392	317	185	282	271
AT1G03410	44	38	39	62	55	49
AT1G03430	287	314	245	207	231	239
AT1G03440	271	343	245	226	221	230
AT1G03445	15	22	8	5	7	9
AT1G03457	130	117	133	88	58	61
AT1G03470	90	110	114	116	96	125
AT1G03475	2323	2526	2167	2166	2286	2044
AT1G03490	0	0	0	0	0	0
AT1G03495	43	59	61	47	47	62
AT1G03502	0	0	0	0	0	0
