gene_id	AB_1	AB_2	AB_3	P1_1	P1_2	P1_3
WBGene00000001	5983	7089	10083	2771	3641	7498
WBGene00000002	23	3	14	1	10	14
WBGene00000003	86	230	255	95	152	266
WBGene00000004	244	50	134	139	27	110
WBGene00000005	0	0	0	0	0	0
WBGene00000006	1	21	50	0	2	44
WBGene00000007	0	4	2	0	5	24
WBGene00000008	0	0	0	0	0	1
WBGene00000009	0	0	0	0	0	0
WBGene00000010	932	1017	1424	470	691	1595
WBGene00000012	0	0	2	0	0	4
WBGene00000013	0	0	2	0	0	0
WBGene00000014	0	0	0	0	0	0
WBGene00000015	0	0	0	0	0	0
WBGene00000016	0	0	0	0	0	12
WBGene00000017	0	0	0	0	0	14
WBGene00000018	2860	4449	5474	768	2669	5344
WBGene00000019	0	0	4	0	0	0
WBGene00000020	1	11	77	11	16	25
WBGene00000021	0	0	0	0	0	0
WBGene00000022	0	0	0	0	0	0
WBGene00000023	0	2	91	0	0	1
WBGene00000024	0	0	0	0	0	0
WBGene00000025	0	0	0	0	0	0
WBGene00000026	0	0	0	0	0	0
WBGene00000027	0	0	0	0	0	0
WBGene00000028	0	0	0	0	0	0
WBGene00000029	0	0	0	0	0	0
WBGene00000030	0	0	0	0	0	0
WBGene00000031	0	0	0	0	0	0
WBGene00000032	0	0	0	0	0	0
WBGene00000033	0	0	0	0	0	0
WBGene00000034	0	0	0	0	0	0
WBGene00000035	10	46	93	0	20	13
WBGene00000036	0	0	4	0	0	12
WBGene00000037	0	10	5	1	1	17
WBGene00000038	0	0	0	0	0	0
WBGene00000039	27	47	86	12	12	70
WBGene00000040	5065	6508	10227	3067	3717	7869
WBGene00000041	4727	6448	13847	2410	5397	12094
WBGene00000042	0	0	0	0	0	1
WBGene00000043	0	0	0	0	0	12
WBGene00000044	0	0	7	1	0	11
WBGene00000045	0	0	0	0	0	0
WBGene00000046	0	2	10	0	0	4
WBGene00000047	13	44	76	10	21	43
WBGene00000048	10	8	23	26	8	32
WBGene00000049	0	0	0	0	0	0
WBGene00000050	31	46	57	9	25	68
WBGene00000051	0	20	6	0	13	8
WBGene00000053	4	1	5	0	2	15
WBGene00000054	0	0	13	0	0	0
WBGene00000055	182	329	668	205	217	447
WBGene00000056	57	82	133	32	45	37
WBGene00000057	29	20	18	0	20	11
WBGene00000058	0	14	19	0	6	30
WBGene00000059	660	1801	2058	483	1168	1668
WBGene00000060	3	2	16	0	1	2
WBGene00000061	0	0	0	0	0	0
WBGene00000062	0	0	0	0	0	16
WBGene00000063	9589	14097	25700	11068	8984	20061
WBGene00000064	55117	73548	120615	54521	49135	104022
WBGene00000065	14269	21058	34414	13871	13525	29988
WBGene00000066	1363	1533	2274	1660	823	2352
WBGene00000067	37	10	4	45	5	61
WBGene00000068	6	56	37	0	13	71
WBGene00000069	0	0	0	0	7	5
WBGene00000070	0	15	6	4	2	8
WBGene00000071	14	19	29	0	2	25
WBGene00000072	0	0	1	1	0	8
WBGene00000073	2747	4259	6002	927	2418	4084
WBGene00000074	2266	1885	2900	495	1026	2377
WBGene00000075	3890	5179	6696	1290	2905	5030
WBGene00000079	1149	1593	2533	228	1163	2297
WBGene00000080	7648	9345	15662	3744	6097	13491
WBGene00000081	22	1	0	0	10	82
WBGene00000082	0	0	0	0	0	0
WBGene00000083	0	0	0	0	0	1
WBGene00000084	0	1	0	0	1	4
WBGene00000085	0	0	0	0	0	7
WBGene00000086	22	6	50	0	0	37
WBGene00000088	8	13	18	5	5	11
WBGene00000089	0	5	1	0	7	1
WBGene00000090	9691	8475	13829	1931	2885	7082
WBGene00000092	2210	3064	4554	1238	1756	3806
WBGene00000093	614	761	1808	867	579	1390
WBGene00000094	2618	3839	7197	1213	2206	6811
WBGene00000095	2149	2940	4627	1126	1525	3262
WBGene00000096	0	4	3	0	3	8
WBGene00000097	1160	1454	2576	1399	976	2066
WBGene00000098	22505	31393	46280	17810	19609	37087
WBGene00000099	4766	6503	11702	3225	3743	8509
WBGene00000100	670	919	1662	244	519	1803
WBGene00000101	16401	20175	35666	6656	14400	30615
WBGene00000102	15057	23564	33324	4860	10043	19462
WBGene00000103	228	279	630	150	207	336
WBGene00000105	1717	2379	3046	663	1024	2530
WBGene00000106	7657	4567	6558	4744	2881	5583
WBGene00000107	5593	6564	14748	3938	5874	13980
WBGene00000108	0	0	0	0	0	9
WBGene00000109	190	324	561	298	447	1204
WBGene00000110	5435	6070	9594	4724	4086	8315
WBGene00000111	0	17	10	0	7	44
WBGene00000112	1084	1653	3341	1604	1047	2931
WBGene00000113	521	559	1346	227	311	938
WBGene00000114	6548	7081	13724	4877	4892	14081
WBGene00000115	2032	3500	4685	1767	2205	3361
WBGene00000116	0	5	4	5	5	48
WBGene00000117	892	1253	2545	536	844	1887
WBGene00000118	0	34	9	0	0	4
WBGene00000120	573	1024	2460	728	614	2013
WBGene00000121	22633	26941	59115	18205	16210	45730
WBGene00000122	9216	15390	29994	9375	9444	22163
WBGene00000123	10024	12546	23760	7883	7381	19210
WBGene00000133	0	0	0	0	0	9
WBGene00000134	0	0	1	0	0	22
WBGene00000135	30	32	35	0	6	79
WBGene00000136	0	0	0	0	0	0
WBGene00000137	3045	3595	6399	1004	2028	4519
WBGene00000138	0	4	1	0	7	13
WBGene00000139	3	1	6	0	1	17
WBGene00000140	75	37	135	25	6	297
WBGene00000142	7871	10326	17919	4751	6263	12996
WBGene00000143	5327	9202	16783	1998	5097	11733
WBGene00000144	1133	1739	3541	1585	1181	3180
WBGene00000145	1626	2520	5047	2954	1874	4169
WBGene00000146	29730	37807	55014	7854	14126	24414
WBGene00000147	3665	5521	7595	1852	2114	4162
WBGene00000148	3704	3590	5592	479	1743	3905
WBGene00000149	76	80	189	36	75	480
WBGene00000150	98	102	305	16	118	248
WBGene00000151	2661	4249	8229	1343	2725	7294
WBGene00000155	19397	23994	38723	11285	14481	30043
WBGene00000156	10661	13210	18605	3190	7826	15840
WBGene00000157	1614	2657	4613	2027	1642	3357
WBGene00000158	1655	2027	4819	1231	1553	5034
WBGene00000159	1055	1451	3075	1105	922	2814
WBGene00000160	2647	2359	4965	2221	2503	5598
WBGene00000161	3714	3968	5635	845	1428	3446
WBGene00000162	3891	4255	9982	1640	2230	9220
WBGene00000163	7659	11955	17041	2737	6942	15389
WBGene00000164	1648	2134	3620	906	1173	2403
WBGene00000165	1254	1861	2503	1592	1116	2489
WBGene00000166	0	0	0	0	0	2
WBGene00000168	2503	3775	6260	2489	2437	6629
WBGene00000169	0	6	6	1	1	7
WBGene00000170	31	229	400	32	24	380
WBGene00000171	0	0	0	0	0	26
WBGene00000172	0	0	1	1	0	0
WBGene00000173	0	0	0	0	0	0
WBGene00000174	0	0	0	0	0	24
WBGene00000175	9	16	48	1	8	5
WBGene00000176	0	0	0	0	3	0
WBGene00000177	48	24	91	34	7	63
WBGene00000178	1062	1832	2845	1214	1096	2480
WBGene00000179	107	229	499	262	115	282
WBGene00000180	337	656	907	177	334	816
WBGene00000181	4942	6095	11705	7307	3967	10267
WBGene00000182	15121	19577	22260	14096	11817	18522
WBGene00000183	15581	16310	29496	14115	8888	21100
WBGene00000184	127	220	592	82	156	474
WBGene00000185	0	0	0	0	0	0
WBGene00000186	2409	2280	4457	817	1340	3269
WBGene00000187	1352	2408	3465	1063	1209	2788
WBGene00000188	1	1	4	0	0	3
WBGene00000189	825	1079	2408	788	792	1865
WBGene00000190	0	3	3	0	1	1
WBGene00000191	0	4	0	0	0	2
WBGene00000192	10033	14330	23154	9542	9491	19556
WBGene00000193	0	0	0	0	0	0
WBGene00000195	2445	3359	5346	2130	2224	4821
WBGene00000196	243	212	793	125	333	1035
WBGene00000197	23347	23956	36707	15711	15104	32608
WBGene00000198	10042	12812	21846	8709	6599	14827
WBGene00000199	3313	3343	6739	2514	2791	6735
WBGene00000200	6823	7056	10876	5648	4518	8861
WBGene00000201	5295	6403	12501	5751	4384	10720
WBGene00000202	1256	1903	3742	1294	1224	2998
WBGene00000203	1945	3358	6969	3137	2491	6914
WBGene00000204	1704	1786	4251	3068	1819	4928
WBGene00000205	2043	3343	6433	3081	1978	5352
WBGene00000206	11824	13723	31251	14248	10268	26757
WBGene00000207	2491	2645	4472	2375	1717	4736
WBGene00000208	1613	2352	4636	1260	1664	3131
WBGene00000209	5053	7130	15161	9256	4619	11850
WBGene00000210	1925	3083	5346	3117	1922	4873
WBGene00000211	221	427	754	219	221	628
WBGene00000212	0	0	0	0	0	0
WBGene00000213	0	0	0	4	0	0
WBGene00000214	30	3	0	16	1	0
WBGene00000215	26	31	38	22	21	46
WBGene00000216	16	6	0	16	0	0
WBGene00000217	9	91	1	36	5	166
WBGene00000218	7	0	0	24	2	0
WBGene00000219	3	0	0	18	0	0
WBGene00000220	8	14	3	0	7	82
WBGene00000221	0	20	13	0	2	120
WBGene00000222	1095	1918	2720	342	873	1707
WBGene00000223	4818	4682	10396	6034	5435	14559
WBGene00000224	155	225	274	119	134	266
WBGene00000225	1289	1018	1844	658	723	1591
WBGene00000226	2575	3152	5667	750	1706	4119
WBGene00000227	1444	2028	2957	406	1272	2142
WBGene00000228	424	292	497	137	210	205
WBGene00000229	119324	151693	224969	120291	118959	217733
WBGene00000230	16042	24308	41503	21143	16743	36437
WBGene00000231	5074	2332	4713	3691	1493	4482
WBGene00000232	60	49	39	0	0	100
WBGene00000233	24	51	160	53	49	104
WBGene00000235	5555	9740	16651	8792	6765	15862
WBGene00000236	2389	3201	8347	2511	2111	6414
WBGene00000237	125	204	349	78	150	273
WBGene00000238	0	0	0	25	0	7
WBGene00000239	7	0	0	9	0	16
WBGene00000240	0	4	0	1	0	0
WBGene00000241	0	0	0	0	0	0
WBGene00000242	0	2	7	0	0	6
WBGene00000244	0	0	1	2	0	0
WBGene00000245	445	765	873	455	518	887
WBGene00000246	0	0	3	0	0	5
WBGene00000247	554	844	1421	775	757	1711
WBGene00000248	558	762	2926	432	317	2496
WBGene00000249	2469	3993	6850	3002	2567	5439
WBGene00000250	2425	2704	5637	1602	1789	5271
WBGene00000251	0	4	3	2	5	10
WBGene00000252	1	1	0	0	0	2
WBGene00000253	143	313	410	66	200	336
WBGene00000254	18501	19188	27630	9284	12401	23229
WBGene00000255	311	479	939	354	289	626
WBGene00000256	2	0	0	0	0	0
WBGene00000257	4747	6783	11568	2577	5307	9805
WBGene00000259	131	235	469	192	414	1181
WBGene00000262	459	924	1522	397	538	1242
WBGene00000263	6112	8437	15201	10190	6099	13270
WBGene00000264	1123	2025	3715	465	1428	3260
WBGene00000265	3208	5105	7702	1433	3472	6297
WBGene00000266	52	26	93	36	29	56
WBGene00000267	9	3	2	0	3	19
WBGene00000268	5170	7613	10155	3285	5158	9191
WBGene00000269	1057	1301	2330	930	1107	2291
WBGene00000270	1251	1931	4018	1176	1245	2403
WBGene00000271	6563	10086	14067	2065	6360	10995
WBGene00000272	0	0	1	0	0	0
WBGene00000273	36	26	100	0	13	407
WBGene00000274	1901	2197	5105	1036	1509	4267
WBGene00000275	11301	14721	26236	5799	8402	16542
WBGene00000276	3212	4124	7017	2791	2875	7314
WBGene00000277	0	13	26	0	1	529
WBGene00000279	60	74	133	48	67	92
WBGene00000280	7	3	4	0	3	15
WBGene00000281	0	0	0	0	2	19
WBGene00000282	13	5	5	0	0	27
WBGene00000283	0	0	17	0	0	0
WBGene00000284	2	4	3	0	0	19
WBGene00000285	0	0	8	0	0	21
WBGene00000286	0	0	11	0	1	42
WBGene00000287	0	0	0	0	0	13
WBGene00000288	0	0	0	0	0	31
WBGene00000289	10524	12053	16426	4750	7116	14044
WBGene00000292	9708	15353	22302	6389	7866	14556
WBGene00000293	8205	10902	18737	6099	7261	16111
WBGene00000294	4134	4459	8209	3065	3247	6580
WBGene00000295	0	0	0	0	0	0
WBGene00000296	1	6	0	0	0	39
WBGene00000298	42	77	151	82	94	212
WBGene00000301	3011	6425	7203	3180	2806	6193
WBGene00000302	9	3	1	0	0	7
WBGene00000308	0	0	0	0	0	0
WBGene00000310	0	0	0	0	0	0
WBGene00000311	0	0	0	0	0	0
WBGene00000366	5751	8247	14183	2495	4145	12370
WBGene00000367	19	15	56	0	9	89
WBGene00000368	249	396	846	202	213	676
WBGene00000369	8193	6106	12495	9207	4069	10420
WBGene00000370	0	0	0	3	0	140
WBGene00000371	5914	8355	17607	9619	6073	16199
WBGene00000372	0	0	0	0	0	0
WBGene00000373	0	0	0	0	0	4
WBGene00000374	4	6	4	12	4	20
WBGene00000375	1579	3018	4415	809	1589	2617
WBGene00000376	6672	8849	11797	4269	5965	11900
WBGene00000377	33248	41596	66642	28596	28098	57068
WBGene00000378	27801	35465	60562	22136	22690	46730
WBGene00000379	20432	32316	49293	16305	22978	45764
WBGene00000380	31687	34137	58056	29429	25231	53502
WBGene00000381	16926	21958	40741	19328	18043	39341
WBGene00000382	4992	7158	11923	3067	4781	10369
WBGene00000383	8555	14141	21916	5065	10600	22682
WBGene00000386	14725	18169	27101	10821	13262	23295
WBGene00000387	1787	2708	4202	1358	1183	2831
WBGene00000388	9159	11208	20131	2225	2680	6653
WBGene00000389	0	2	0	0	0	1
WBGene00000390	7814	10317	17684	7502	7272	16791
WBGene00000391	0	0	0	0	0	2
WBGene00000392	2943	4796	7607	5794	3440	7119
WBGene00000393	1518	2028	2487	1292	1616	3006
WBGene00000395	515	642	1062	150	395	1092
WBGene00000396	10084	13660	18506	2898	8457	14113
WBGene00000397	100	45	73	8	51	90
WBGene00000399	13	1	15	0	6	0
WBGene00000401	0	0	9	0	0	0
WBGene00000402	6	15	13	0	7	0
WBGene00000403	1026	1168	1627	708	566	2021
WBGene00000405	26393	39215	63764	20638	24701	47625
WBGene00000406	1680	2755	3878	1555	1580	3079
WBGene00000407	3737	3983	8321	4482	2761	7412
WBGene00000408	3472	4255	8412	2731	2724	6195
WBGene00000409	4819	7549	12861	2747	5910	13845
WBGene00000410	2305	2547	4755	2111	1467	4202
WBGene00000411	16887	17944	27906	9635	10035	20646
WBGene00000412	0	0	0	0	0	0
WBGene00000413	999	1100	3139	477	690	1915
WBGene00000414	397	781	1714	644	942	2723
WBGene00000415	1917	1825	3846	1253	1262	4003
WBGene00000416	4975	5057	10500	5158	3200	7871
WBGene00000417	1915	1596	2827	1173	968	2409
WBGene00000418	3724	6165	8495	2818	4341	8030
WBGene00000419	4791	6024	11216	2524	4925	13390
WBGene00000420	3867	5726	9765	3701	4949	11104
WBGene00000421	10641	13546	21126	2362	8968	17264
WBGene00000422	760	1302	1600	435	750	1224
WBGene00000423	1021	1576	2740	1508	1012	2317
WBGene00000424	297	373	558	242	171	511
WBGene00000425	42	105	81	0	70	175
WBGene00000426	4368	5172	8717	980	3411	8348
WBGene00000427	0	0	5	0	0	0
WBGene00000428	0	0	0	0	0	10
WBGene00000429	0	4	2	8	0	1
WBGene00000430	8	11	11	12	6	26
WBGene00000431	29	68	149	22	33	84
WBGene00000432	0	0	0	0	0	0
WBGene00000433	0	2	2	0	2	0
WBGene00000434	0	0	0	0	0	2
WBGene00000435	11	14	52	0	20	16
WBGene00000436	0	0	0	0	0	0
WBGene00000437	4	28	1	0	5	5
WBGene00000438	0	0	0	0	0	0
WBGene00000439	39	39	62	23	17	76
WBGene00000440	0	0	0	0	0	0
WBGene00000441	23	0	10	0	5	28
WBGene00000442	188	203	453	60	109	230
WBGene00000443	89	104	83	170	8	93
WBGene00000444	3349	4275	7466	2853	2825	6482
WBGene00000445	0	0	0	0	0	1
WBGene00000446	0	0	0	0	0	0
WBGene00000447	0	0	13	0	0	0
WBGene00000448	0	8	9	2	0	1
WBGene00000449	0	53	0	0	0	45
WBGene00000450	0	0	0	0	0	0
WBGene00000451	0	3	3	0	0	2
WBGene00000452	0	0	0	0	0	3
WBGene00000453	0	7	39	0	0	19
WBGene00000454	0	0	0	0	0	0
WBGene00000455	0	0	8	0	0	67
WBGene00000457	0	78	35	0	2	0
WBGene00000458	0	22	0	0	0	0
WBGene00000459	10780	11748	15918	3617	7650	15636
WBGene00000460	5455	7213	12987	2301	3259	7348
WBGene00000461	870	1280	2068	671	793	1736
WBGene00000462	503	705	995	527	425	1067
WBGene00000463	16	114	154	50	55	81
WBGene00000464	4366	6553	11865	1840	3566	10163
WBGene00000465	100320	109804	246593	86907	81877	240086
WBGene00000466	3903	6916	9570	1110	4721	9548
WBGene00000467	4928	6802	12179	3195	5601	12797
WBGene00000468	348	609	1614	628	497	1135
WBGene00000469	31	10	37	15	10	83
WBGene00000472	10649	15134	28955	12177	10334	24902
WBGene00000473	61698	73360	181460	98505	51994	159397
WBGene00000474	36349	56554	116705	56467	35749	85371
WBGene00000475	22142	28170	62048	22405	17160	48648
WBGene00000476	377	993	1866	198	477	1009
WBGene00000477	1	0	2	0	6	7
WBGene00000478	24	23	34	0	23	141
WBGene00000479	52426	40234	79168	40737	21620	49680
WBGene00000480	8989	8683	14511	5002	5936	15381
WBGene00000481	1	21	34	0	29	53
WBGene00000482	3552	5786	7741	1524	3369	6077
WBGene00000483	0	0	0	0	0	0
WBGene00000484	0	0	0	0	0	1
WBGene00000485	33	11	49	0	6	136
WBGene00000487	0	0	8	0	0	0
WBGene00000488	0	0	7	0	0	0
WBGene00000490	9	0	0	0	5	12
WBGene00000491	27	12	22	0	4	36
WBGene00000492	0	0	0	1	0	5
WBGene00000493	40	79	73	9	36	44
WBGene00000496	625	552	2137	1991	3211	10997
WBGene00000497	7	5	0	0	9	14
WBGene00000498	7237	10796	19854	8596	7358	18174
WBGene00000499	49	60	138	26	13	112
WBGene00000500	3618	4251	8549	2641	3040	8005
