gene_id	day1_1	day1_2	day1_3	day60_1	day60_2	day60_3
FBgn0000008	457	633	945	875	669	183
FBgn0000014	493	623	152	73	172	197
FBgn0000015	250	269	77	88	76	100
FBgn0000017	738	929	1861	1872	1472	295
FBgn0000018	169	169	483	455	333	68
FBgn0000024	1169	1109	249	210	252	468
FBgn0000028	159	110	28	44	34	63
FBgn0000032	535	517	2539	2393	1838	214
FBgn0000036	202	255	21	27	29	81
FBgn0000037	247	236	75	84	90	99
FBgn0000038	1358	1394	181	216	253	543
FBgn0000039	220	173	25	22	47	88
FBgn0000042	37589	36155	58690	47170	49512	15036
FBgn0000044	50637	52708	7771	6140	10837	20255
FBgn0000045	154526	169807	942	978	1324	61810
FBgn0000046	30218	28546	1537	1421	2327	12087
FBgn0000047	167716	201955	1152	529	940	67087
FBgn0000052	1730	1331	2760	2202	2441	692
FBgn0000057	1022	885	1889	1695	1590	409
FBgn0000061	86	67	12	6	1	34
FBgn0000063	103	68	844	866	619	41
FBgn0000064	66302	72489	15111	12178	14416	26521
FBgn0000071	49	67	0	0	1	19
FBgn0000075	110	94	18	26	10	44
FBgn0000077	102	184	556	511	503	41
FBgn0000078	1125	761	3813	2367	3275	450
FBgn0000079	1121	1068	3941	2322	3490	449
FBgn0000083	6888	7060	5050	3488	5520	2755
FBgn0000084	1348	1415	2064	1698	2110	539
FBgn0000092	34148	29723	235	31	82	13659
FBgn0000097	5544	3297	1600	1496	1105	2217
FBgn0000108	1937	2137	381	357	443	775
FBgn0000114	7156	5781	14535	14738	11374	2863
FBgn0000115	582	650	1844	1986	1707	233
FBgn0000116	23827	26564	15645	12786	15272	9531
FBgn0000117	4039	4324	12920	11718	10400	1616
FBgn0000120	9264	9091	2200	2333	2843	3706
FBgn0000121	12819	12145	4382	5105	6952	5128
FBgn0000139	347	344	1662	1320	1349	139
FBgn0000140	329	260	4347	3929	3008	132
FBgn0000146	164	239	1639	1582	1234	65
FBgn0000147	405	294	1917	1998	1465	162
FBgn0000150	11132	12123	27665	24710	25646	4453
FBgn0000152	247	242	183	116	189	99
FBgn0000153	7720	7035	259	284	382	3088
FBgn0000157	264	290	51	41	62	106
FBgn0000158	42	51	768	910	570	17
FBgn0000166	37	27	1141	1582	1084	15
FBgn0000173	2556	3238	4840	4821	4227	1022
FBgn0000179	104	75	16	8	12	42
FBgn0000180	55	50	29	31	23	22
FBgn0000181	10339	10785	33633	30841	28028	4136
FBgn0000182	36	24	2	1	1	14
FBgn0000183	1561	1653	4177	3841	3085	625
FBgn0000206	560	518	46	49	78	224
FBgn0000212	921	1057	2767	2263	2177	368
FBgn0000221	174	165	666	627	633	69
FBgn0000228	741	829	2033	2036	1632	296
FBgn0000233	27	49	1	13	6	11
FBgn0000239	1929	1994	4796	4426	3779	771
FBgn0000241	89	139	44	36	65	35
FBgn0000246	134	153	574	524	426	53
FBgn0000247	910	906	1571	1192	1215	364
FBgn0000250	6981	5818	10909	10206	8949	2793
FBgn0000251	746	825	3989	3964	3350	298
