	CD4_1	CD4_2	CD4_3	CD4_4	CD8_1	CD8_2	CD8_3
ENSMUSG00000000001	3790	4617	4671	4200	4453	3966	4512
ENSMUSG00000000003	0	0	0	0	0	0	0
ENSMUSG00000000028	139	437	42	45	110	91	115
ENSMUSG00000000031	0	0	0	0	0	0	0
ENSMUSG00000000037	0	0	13	0	0	2	1
ENSMUSG00000000049	0	0	0	0	0	1	0
ENSMUSG00000000056	386	506	314	320	481	482	649
ENSMUSG00000000058	6	0	7	5	0	4	4
ENSMUSG00000000085	208	358	219	261	342	330	352
ENSMUSG00000000088	2077	1961	1776	1564	1625	1268	1668
ENSMUSG00000000093	2	5	0	1	0	4	4
ENSMUSG00000000094	0	0	0	0	0	0	0
ENSMUSG00000000103	0	0	0	0	0	0	0
ENSMUSG00000000120	0	0	0	0	0	0	0
ENSMUSG00000000125	0	0	0	0	42	27	52
ENSMUSG00000000126	0	0	0	0	0	0	0
ENSMUSG00000000127	23	23	14	13	0	1	7
ENSMUSG00000000131	4181	6130	3505	4115	5549	5489	5864
ENSMUSG00000000134	556	531	516	798	618	542	687
ENSMUSG00000000142	50	46	32	23	62	64	50
ENSMUSG00000000148	995	1143	551	749	737	888	1175
ENSMUSG00000000149	93	113	94	123	89	151	124
ENSMUSG00000000154	0	0	0	0	0	0	3
ENSMUSG00000000157	0	0	0	0	0	0	0
ENSMUSG00000000159	4	0	0	0	0	0	1
ENSMUSG00000000167	5	0	23	23	0	1	2
ENSMUSG00000000168	806	909	751	663	786	679	855
ENSMUSG00000000171	2058	2844	1991	2071	1706	1442	1930
ENSMUSG00000000182	0	0	0	0	0	0	0
ENSMUSG00000000183	0	0	0	0	0	0	0
ENSMUSG00000000184	8802	9228	7662	7188	8341	6695	8362
ENSMUSG00000000194	379	506	188	341	436	574	645
ENSMUSG00000000197	0	0	0	0	0	0	0
ENSMUSG00000000202	0	0	0	0	0	0	0
ENSMUSG00000000204	0	15	1	5	3	17	13
ENSMUSG00000000214	0	0	0	0	0	0	0
ENSMUSG00000000215	0	0	0	0	0	0	0
ENSMUSG00000000216	0	0	0	0	0	0	0
ENSMUSG00000000223	0	0	0	0	0	0	0
ENSMUSG00000000244	1486	2064	1042	1105	5334	4849	6915
ENSMUSG00000000247	0	0	0	0	0	0	0
ENSMUSG00000000248	0	0	0	0	0	0	0
ENSMUSG00000000253	0	12	0	12	0	0	0
ENSMUSG00000000263	0	0	0	0	1	0	0
ENSMUSG00000000266	0	0	0	0	1	11	5
ENSMUSG00000000275	969	1254	467	539	935	849	943
ENSMUSG00000000276	236	305	191	147	476	322	330
ENSMUSG00000000278	212	269	160	231	140	155	183
ENSMUSG00000000282	201	212	213	203	198	134	160
ENSMUSG00000000290	12158	14851	10533	10968	12386	13251	14915
ENSMUSG00000000295	522	610	399	408	500	399	524
ENSMUSG00000000296	1	0	0	0	0	0	0
ENSMUSG00000000301	73	52	28	63	38	30	42
ENSMUSG00000000303	83	104	79	202	0	42	2
ENSMUSG00000000305	0	0	0	0	1	0	0
ENSMUSG00000000308	0	0	0	0	0	0	2
ENSMUSG00000000317	0	0	0	0	0	3	0
ENSMUSG00000000318	0	1	0	1	1	0	0
ENSMUSG00000000320	0	1	9	0	0	2	9
ENSMUSG00000000326	421	688	179	353	477	427	642
ENSMUSG00000000339	802	814	568	633	706	640	762
ENSMUSG00000000340	188	238	155	161	159	150	311
ENSMUSG00000000346	14769	15536	17328	17074	15546	14932	16619
