gene_id	6mo_1	6mo_2	6mo_3	28mo_1	28mo_2	28mo_3
ENSRNOG00000028000	0	0	0	0	0	0
ENSRNOG00000018200	732	358	468	368	436	358
ENSRNOG00000008400	10	4	8	4	8	6
ENSRNOG00000018201	0	0	0	0	1	0
ENSRNOG00000008401	1	4	3	3	1	0
ENSRNOG00000018202	0	2	3	0	1	0
ENSRNOG00000018204	28	28	40	47	38	33
ENSRNOG00000028005	0	0	5	0	0	0
ENSRNOG00000018205	124	66	105	120	82	80
ENSRNOG00000008405	23	12	17	17	12	13
ENSRNOG00000018207	22	15	24	29	17	15
ENSRNOG00000028008	1	0	0	1	0	1
ENSRNOG00000018208	145	129	98	178	83	151
ENSRNOG00000008409	15	20	10	10	13	7
ENSRNOG00000028011	0	0	0	0	0	0
ENSRNOG00000008410	83	72	75	90	68	68
ENSRNOG00000018211	90	53	84	66	42	58
ENSRNOG00000008411	76	105	83	84	69	74
ENSRNOG00000018212	53	30	40	40	36	54
ENSRNOG00000008412	2	2	7	3	2	2
ENSRNOG00000028014	237	194	296	272	167	221
ENSRNOG00000018214	27	37	49	25	46	40
ENSRNOG00000028015	0	0	1	0	3	4
ENSRNOG00000008414	855	636	692	868	559	623
ENSRNOG00000018215	11	10	5	7	7	2
ENSRNOG00000028016	1	2	0	1	2	2
ENSRNOG00000008415	74	46	78	78	54	60
ENSRNOG00000028017	76	84	84	88	62	77
ENSRNOG00000008416	7	4	2	0	3	4
ENSRNOG00000018217	288	97	211	173	220	173
ENSRNOG00000008417	179	167	184	216	114	130
ENSRNOG00000018218	53	52	39	29	43	31
ENSRNOG00000008418	43	35	44	26	40	34
ENSRNOG00000018220	644	443	630	467	466	411
ENSRNOG00000028021	351	407	341	371	347	353
ENSRNOG00000008421	803	394	678	647	522	535
ENSRNOG00000008422	0	0	0	0	0	0
ENSRNOG00000028024	0	0	0	0	0	0
ENSRNOG00000008423	549	976	971	1304	560	890
ENSRNOG00000018224	1	0	0	0	0	1
ENSRNOG00000028025	0	0	0	1	0	1
ENSRNOG00000008424	38	17	42	37	30	21
ENSRNOG00000018225	3	5	3	2	8	7
ENSRNOG00000008425	191	91	158	99	121	73
ENSRNOG00000018226	58	33	48	34	50	40
ENSRNOG00000018227	565	365	499	552	340	354
ENSRNOG00000008427	53	43	48	55	34	45
ENSRNOG00000018228	72	77	54	59	57	45
ENSRNOG00000008428	129	19	22	9	43	30
ENSRNOG00000018229	20	6	9	13	17	11
ENSRNOG00000018230	52	69	36	57	59	60
ENSRNOG00000008430	22	22	29	21	26	15
ENSRNOG00000018231	90	64	66	46	50	45
ENSRNOG00000008431	726	466	830	558	579	422
ENSRNOG00000018232	73	46	85	74	62	46
ENSRNOG00000028033	0	0	1	0	0	0
ENSRNOG00000008432	23	31	31	29	45	20
ENSRNOG00000018233	157	133	122	157	121	112
ENSRNOG00000028035	0	0	0	0	0	0
ENSRNOG00000028036	0	1	1	0	1	0
ENSRNOG00000018236	0	0	0	0	0	0
