gene_name	wt_1	wt_2	wt_3	del_1	del_2	del_3
LSR1	229310	345502	389141	452267	437241	812737
NME1	119	75	319	190	266	1136
Q0010	1	1	2	1	8	13
Q0017	7	17	6	21	26	4
Q0032	0	0	0	0	0	2
COX1	491	1025	710	3113	1963	4164
AI3	313	511	322	1648	871	1783
AI4	1014	1534	799	3369	1774	3247
ATP8	171	154	135	381	438	174
ATP6	706	973	921	3198	2551	3960
Q0092	0	0	0	0	0	0
COB	1453	2225	1976	11933	8639	9266
OLI1	432	387	731	1222	1220	3031
VAR1	88	95	88	204	207	329
Q0142	5	17	5	55	33	45
Q0143	0	0	1	1	4	1
SCEI	175	349	272	542	431	914
Q0182	124	201	124	109	111	149
COX2	1122	2473	1511	4535	3667	7850
Q0255	309	382	327	1019	946	1389
COX3	2318	4053	2709	8900	7895	9133
Q0297	0	0	0	0	0	0
RDN18-1	0	0	0	0	0	0
RDN18-2	0	0	0	0	0	0
RDN25-1	0	0	0	0	0	0
RDN25-2	0	0	0	0	0	0
RDN37-1	0	0	0	0	0	0
RDN37-2	0	0	0	0	0	79
RDN5-1	0	0	0	0	0	0
RDN5-2	0	0	0	0	0	0
RDN5-3	0	0	0	0	0	0
RDN5-4	0	0	0	0	0	0
RDN5-5	0	0	0	0	0	0
RDN5-6	0	0	0	0	0	0
RDN58-1	0	0	0	0	0	0
RDN58-2	0	0	0	0	0	0
RNA170	18	14	29	13	18	37
RUF5-1	0	0	0	0	0	0
RUF5-2	0	0	0	0	0	0
TFC3	3575	4954	4410	3836	3527	4738
VPS8	1201	1615	1275	1008	1044	1342
EFB1	58114	55499	53798	69526	85729	61624
SSA1	20327	26207	23682	5179	6016	7025
MDM10	517	608	594	513	540	607
SWC3	624	1026	820	797	814	1383
CYS3	3567	3013	2892	2523	3404	4628
DEP1	605	947	649	983	1067	1490
SYN8	1004	1425	1097	1310	1335	2064
NTG1	766	955	824	703	733	1001
TPD3	4847	6162	5395	6077	6393	7560
PSK1	4878	6532	5813	3549	3868	4936
ATS1	474	523	482	1068	1286	1516
CCR4	2608	2511	2207	2197	2614	3579
PMT2	6256	7659	5800	6568	7312	12263
LTE1	1244	1622	1343	1487	1512	2148
DRS2	5020	6960	5450	5766	6135	8010
FRT2	329	407	388	236	284	501
MYO4	3941	5878	4507	5432	5094	7708
GIP4	633	886	729	637	623	847
PRP45	677	1036	841	859	929	1403
POP5	431	599	495	576	598	849
YAL034C-B	18	12	19	43	66	48
MTW1	318	450	442	471	499	622
FUN12	15978	23953	16782	28307	32384	39381
RBG1	1170	1692	1187	2269	2456	3356
CDC19	103844	120464	99219	103603	122674	223451
CYC3	716	1131	1030	611	727	1141
CLN3	246	199	189	148	155	193
CDC24	1928	2303	2173	2142	2332	2874
YAL042C-A	4	2	9	6	5	34
ERV46	6549	8317	7361	8472	9541	15426
PTA1	1443	1814	1465	2270	2627	3984
SPC72	303	402	338	335	394	516
GEM1	367	574	493	393	426	581
OAF1	1494	1662	1693	1535	1572	2180
FLC2	1552	1989	1849	1970	2268	3266
ACS1	185	225	240	112	120	223
PEX22	234	388	337	206	224	255
YAL056C-A	5	5	2	5	10	14
GPB2	2864	4163	3544	4182	4400	5685
CNE1	622	947	804	905	944	1473
BDH1	1907	2811	2815	1131	1182	2289
GDH3	110	176	178	105	126	148
TDA8	0	0	0	0	1	2
SWD1	1029	1353	1376	1666	1768	1890
RFA1	1782	2428	1947	1934	1926	3011
SEN34	479	919	603	816	855	824
YAR009C	14	24	20	5	7	17
YAR010C	0	0	0	0	0	0
KIN3	661	830	741	1178	1249	1812
CDC15	375	375	359	389	404	559
SWH1	2437	2406	2350	2054	2397	3026
FLO1	24	21	28	37	30	39
HTA2	4599	7654	6228	7262	8497	7676
PDR3	1809	2453	2465	879	958	1358
LDB7	1773	2552	2214	1912	1885	2447
SCT1	2680	3634	2913	2444	2498	5009
FMT1	174	156	158	164	195	264
FUS3	646	949	666	842	868	1624
PEP1	10522	15083	11792	13226	14858	18035
APN2	555	703	657	634	638	726
PIM1	8687	10625	8449	8933	9285	13872
NCL1	4082	5828	4194	7725	9159	11338
LSM2	3472	3477	3963	3702	4505	2592
RPL19B	30424	42711	36179	51974	58647	64374
PET9	2731	3295	2897	3678	3867	4834
HEK2	3735	4136	3984	2634	3237	3734
MRPL16	1015	1790	1656	1068	1230	1780
YBL039W-B	61	112	164	70	65	90
PRE7	3206	4732	3808	4211	4165	5629
COR1	2040	2219	2059	2401	2321	4072
EDE1	13795	15363	12863	9721	11205	14251
SEC17	2032	4174	3016	2360	2552	3151
PIN4	2386	2344	2087	937	1105	1589
SAS3	1655	2987	2034	2147	1663	2809
TOD6	578	772	611	1359	1513	1979
YBL055C	670	1078	834	949	1062	1165
SHP1	3729	5081	4228	3886	4028	6944
SKT5	1725	2845	2085	3123	3155	4389
KIP1	1093	1193	1204	1085	1031	1522
KTI11	511	875	715	641	705	885
RPS8A	10816	14894	12664	13709	16943	23314
SSA3	593	942	758	980	925	1357
ILS1	23967	34573	23877	28336	29900	39877
ATG8	651	841	962	688	684	933
NUP170	3756	4952	3948	5178	5861	7593
ALG3	480	470	438	526	587	1074
CDC27	316	408	365	320	358	534
BOI1	1877	2127	1942	1623	1779	2999
RPL23A	7767	11428	7166	14866	16945	23410
MRP21	1390	1592	1539	999	1195	1502
RPL32	17759	18035	21325	30894	36226	58727
ROX3	1916	2602	1945	2350	2395	3563
YBL100W-A	0	0	0	0	0	0
YBL100W-B	77	102	83	54	56	100
YBL100W-C	8	13	14	7	12	11
ECM21	2311	2889	2474	1807	1856	2678
SEA4	1000	1360	1145	1411	1471	2107
PKC1	2986	4140	3443	4024	4054	5514
SRO77	672	959	768	608	588	908
GPI18	358	586	553	534	619	642
RCR1	178	219	197	297	335	652
UGA2	874	1111	1184	481	533	628
HHT1	7563	5241	7205	5315	6932	10193
IPP1	24058	19052	20263	19912	26071	25863
MNN2	2749	3936	3094	3801	4211	7121
CHS3	3177	5011	3394	4779	4729	7327
ETR1	898	1178	1191	843	906	1260
CDS1	1515	1959	1683	1194	1486	2181
RPL4A	1431	1318	1260	1857	2199	3804
HMT1	4298	4717	3945	7015	8041	9464
CSG2	2104	2635	2340	2408	2785	4214
SCO1	999	1361	1166	945	1063	1463
CST26	947	1298	1087	1147	1216	1689
QDR3	1076	1789	1434	1000	1110	1752
RPS11B	11327	16533	12081	17153	17486	25817
REB1	3238	4579	3739	4105	4037	5960
PRP6	1947	2681	2285	3285	3230	4045
MUM2	887	1293	1036	1305	1273	2049
UBP14	1578	2123	1736	1884	2015	2356
ORC2	1064	1102	1097	1201	1263	2110
TRM7	437	547	508	763	852	1016
ECM2	534	708	667	1020	874	1428
TAT1	1941	2560	2232	3651	4071	7327
RDH54	4335	5401	4691	6899	7317	9342
YBR074W	2820	4317	3430	4220	4779	5473
SLM4	776	1121	1033	911	995	1007
RPG1	11962	14312	11609	16102	19379	22120
SEC18	2598	4204	3521	2887	3274	4122
SPT7	1986	2824	2271	2614	2686	3459
TEC1	979	1024	842	1096	1002	1778
RPL19A	22241	32238	22669	35824	36650	55758
AAC3	256	397	266	467	527	694
POL30	1250	1166	1200	1334	1387	1929
NHP6B	205	199	298	175	209	658
TIM12	214	235	236	304	410	650
PHO3	909	1378	903	3254	3632	6646
PHO5	1419	3214	1021	95	84	205
RXT2	1539	1800	1578	1819	1944	2388
VPS15	1311	1901	1570	1580	1536	2095
MMS4	566	768	569	628	639	828
EXO84	1462	1926	1627	1589	1701	2031
SIF2	1013	1539	1285	1409	1480	1964
VID24	821	987	931	554	648	1053
IML3	254	503	376	351	332	489
CMD1	5367	4526	5241	3672	5033	3987
YSA1	2442	3025	3133	2423	2762	3763
CYC8	3583	3245	3313	3139	3430	6118
RAD16	739	1016	941	1171	1195	1773
TEF2	8536	9786	9401	7790	9012	16521
MUD1	332	367	437	322	370	566
GRS1	17690	28542	19926	24468	28007	36134
MRPL36	1710	2482	2090	1577	1604	2271
TFC1	1391	1704	1562	1689	1691	2226
PTC4	891	1189	1006	1141	1184	1461
TPS1	8127	11106	10027	5382	5916	9311
VMA2	33439	46471	38258	40660	44278	61887
ATG14	265	294	325	206	154	266
CCZ1	589	933	736	891	930	1123
MEC1	1731	2420	2038	2112	2106	2691
YBR138C	451	513	509	500	533	838
IRA1	4735	6599	5181	5223	5124	6635
SUP45	7847	11814	8681	14476	15402	20100
RTC2	462	716	638	78	138	109
RPB5	1254	2067	1627	2979	3268	5767
AMN1	3234	3951	3418	2963	3097	4379
CDC28	741	1395	1170	1398	1579	1870
EXO5	942	1359	1286	1334	1383	1861
ARL1	1223	2193	1614	2108	2194	2415
POP7	412	594	557	694	732	780
NPL4	2358	3185	2787	2813	3082	3717
SEC66	2311	3793	2645	3389	3666	3911
UMP1	942	783	1106	893	1250	1648
SWD3	460	617	515	709	825	1143
RPS6B	5588	6337	5573	7294	7708	10065
YPC1	944	1404	1109	1025	900	1475
RPS9B	42402	58640	40914	64554	76481	97715
RPL21A	13171	14866	14418	23395	26974	28075
RIM2	566	989	731	841	795	976
AIM4	402	592	555	505	563	589
MSI1	430	567	502	511	562	786
PGI1	33263	38069	31139	21521	26645	32427
TAF5	2765	3839	2990	4510	4877	6291
BEM1	1478	1919	1645	1827	1967	3049
MCM7	2245	2862	2319	2905	3348	4832
DUR1,2	3095	4044	3272	1447	1414	2283
AME1	481	811	569	588	611	776
NGR1	890	1005	1025	563	670	1232
ATG12	371	517	508	501	520	731
