chrIII	1279244	1279473
chrX	2852430	2852811
chrV	7983759	7983901
chrIV	11854894	11855053
chrIV	828530	828710
chrI	7500311	7500755
chrV	10361900	10362058
chrIII	1926515	1926678
chrIV	1094261	1094440
chrX	14747007	14747213
chrII	11874703	11874931
chrX	1871103	1871316
chrI	9381175	9381436
chrIV	51336	51496
chrII	4881878	4882063
chrI	1873801	1874099
chrV	14038740	14038971
chrIII	2471956	2472185
chrI	5545618	5545771
chrX	5275272	5275465
chrII	2195627	2195816
chrII	12339231	12339371
chrII	13908636	13908785
chrX	16901816	16902029
chrIV	5604486	5604863
chrII	156021	156212
chrIV	7147777	7148000
chrI	13373028	13373166
chrII	5661044	5661287
chrII	5320176	5320368
chrX	8029120	8029286
chrIV	11928491	11928628
chrIII	640558	640700
chrIV	11082838	11083154
chrX	2809738	2809877
chrV	6043911	6044080
chrIII	9765415	9765735
chrX	13144144	13144492
chrII	4701671	4701851
chrV	13556797	13556941
chrIV	4407031	4407305
chrV	11514788	11514949
chrX	11522137	11522313
chrII	5544146	5544358
chrX	12393812	12394043
chrII	6852035	6852209
chrX	13950681	13950867
chrV	13678644	13678809
chrV	2281682	2281826
chrI	4584771	4584955
chrIII	3637283	3637429
chrII	4299267	4299527
chrIII	11243404	11243585
chrI	4433115	4433301
chrII	9060351	9060589
chrI	1823221	1823364
chrIII	10506875	10507019
chrV	7237214	7237408
chrI	10653552	10653730
chrX	13969401	13969800
chrII	3911412	3911593
chrIII	4281982	4282439
chrX	11031034	11031590
chrIII	5305738	5305932
chrX	9551188	9551363
chrV	10466636	10466854
chrI	12652169	12652365
chrIV	11549785	11549969
chrV	11638624	11638876
chrIII	13462954	13463095
chrV	19158696	19158937
chrI	6564547	6564734
chrIII	8109479	8109628
chrIII	10407274	10407452
chrIII	10848832	10849005
chrV	15143907	15144052
chrIII	8678408	8678554
chrII	5543411	5543821
chrX	8069389	8069547
chrIV	7580292	7580489
chrX	10555341	10555757
chrV	20763178	20763507
chrX	12670413	12670589
chrIV	5754115	5754328
chrIV	1595937	1596081
chrX	12643022	12643222
chrX	1446821	1447082
chrX	3605853	3606038
chrV	9724163	9724303
chrX	10618690	10618917
chrIV	1064400	1064550
chrIV	5822119	5822318
chrII	11635763	11635979
chrX	7334390	7334615
chrIV	15561321	15561518
chrX	14983313	14983484
chrX	10158771	10158947
chrV	2672737	2672884
chrIII	6431810	6431974
chrII	14570546	14570713
chrX	7953795	7953932
chrIII	10742500	10742656
chrIII	4796090	4796295
chrII	1320537	1320728
chrI	4535998	4536300
chrIII	2090813	2091006
chrIV	9368316	9368475
chrI	4145091	4145234
chrIV	17093728	17093897
chrIII	1226368	1226530
chrIV	9718489	9718646
chrV	14696818	14697089
chrIV	7230301	7230447
chrI	5313170	5313338
chrV	11000740	11000912
chrX	3472217	3472475
chrII	6348477	6348661
chrII	6842639	6842785
chrX	13514430	13514613
chrIII	9051314	9051487
chrV	12637321	12637482
chrX	6645045	6645274
chrIII	7321985	7322248
chrII	10950170	10950344
chrII	13335142	13335675
chrIII	12874726	12874876
chrX	9150323	9150475
chrI	2020033	2020220
chrIII	12003268	12003539
chrIII	3505271	3505448
chrV	17130010	17130355
chrII	10389136	10389359
chrV	14012204	14012344
chrX	4662482	4662731
chrI	1446927	1447140
chrI	6781673	6781867
chrI	3723538	3723742
chrX	13726955	13727103
chrIII	4754250	4754400
chrII	5055266	5055461
chrI	1835517	1835707
chrX	14146808	14147054
chrX	14015820	14015965
chrX	6737838	6737975
chrIV	1659150	1659333
chrIV	13980246	13980421
chrII	6926513	6926708
chrIII	7854510	7854732
chrIV	10252436	10252708
chrX	14312453	14312680
chrI	13038995	13039160
chrX	12876928	12877070
chrX	2237514	2237701
chrI	6554608	6554760
chrV	8	200
chrIII	5368279	5368435
chrI	12551099	12551295
chrI	5539315	5539467
chrX	16331918	16332125
chrX	15866220	15866357
chrII	13456688	13456863
chrV	9095687	9095904
chrII	9481478	9481668
chrV	6227680	6227858
chrV	16965738	16965906
chrIV	15472472	15472635
chrIII	1950315	1950512
chrX	13250198	13250442
chrX	12519079	12519222
chrIII	8800060	8800227
chrII	3994671	3994862
chrV	731436	731601
chrIII	5013946	5014240
chrIV	13346116	13346316
chrIII	5018174	5018398
chrI	9788615	9788774
chrX	13527397	13527567
chrII	12878670	12878957
chrII	5844632	5845091
chrX	3803420	3803582
chrIII	4649313	4649632
chrV	9503437	9503585
chrIV	385525	385679
chrX	9396655	9396796
chrX	4853153	4853329
chrIV	8973706	8973860
chrV	11572984	11573261
chrII	9112791	9113084
chrI	7968702	7968911
chrIII	1080641	1080831
chrIV	11179304	11179471
chrX	9851973	9852140
chrIII	5706302	5706465
chrV	6000357	6000686
chrI	518501	518731
chrX	3371380	3371534
chrI	33783	33920
chrX	17610618	17610813
chrIV	1857916	1858108
chrV	10353119	10353261
chrIV	3654277	3654429
chrV	904713	904855
chrIII	6971933	6972140
chrII	5649535	5649675
chrIII	4899737	4900020
chrI	9938421	9938561
chrIV	5667255	5667455
chrI	6220913	6221076
chrIII	9735886	9736122
chrI	4633595	4633743
chrX	8546078	8546262
chrI	3516366	3516504
chrIII	12688036	12688175
chrV	6450422	6450596
chrX	7962154	7962343
chrIII	12665476	12665637
chrII	7105051	7105231
chrX	8036161	8036733
chrIII	5715589	5715744
chrX	13669700	13669889
chrII	15010490	15010627
chrV	13082613	13082879
chrIII	10096493	10096758
chrX	8810975	8811217
chrV	11532295	11532483
chrV	18967710	18967943
chrX	11207016	11207183
chrIII	8801806	8802225
chrIII	3540536	3540697
chrI	382451	382603
chrX	1389519	1389679
chrX	13358495	13358816
chrX	10637559	10637782
chrII	5227918	5228088
chrIII	12424091	12424295
chrII	7529181	7529390
chrIII	8417153	8417833
chrIII	7973253	7973413
chrX	3969986	3970144
chrIV	9032633	9032794
chrII	14496867	14497068
chrX	14489916	14490072
chrX	13917419	13917570
chrX	2536545	2536792
chrX	16929588	16929754
chrIV	6790515	6790739
chrIV	12638222	12638379
chrII	14441183	14441352
chrIII	10224713	10225418
chrII	11967556	11967735
chrII	10563409	10563625
chrV	20728971	20729215
chrIV	5593964	5594212
chrX	5056778	5057125
chrX	15181494	15181658
chrII	14864325	14864478
chrII	6269873	6270069
chrX	5	251
chrIV	410436	410626
chrI	315169	315332
chrI	3349972	3350117
chrI	4247524	4247667
chrV	18723687	18723873
chrII	14250203	14250364
chrI	8329703	8329861
chrII	10033510	10033745
chrIV	2676398	2676544
chrX	6296336	6296738
chrI	8784133	8784273
chrIV	5394819	5394969
chrI	10297931	10298166
chrII	7337642	7337840
chrIII	7520709	7520860
chrV	9212608	9212757
chrII	7255673	7255830
chrX	10026403	10026555
chrX	768150	768369
chrIII	11869995	11870253
chrX	5142527	5142675
chrX	15173546	15173700
chrI	3740483	3740622
chrV	10320316	10320532
chrIV	2162368	2162515
chrIV	5565210	5565358
chrIII	1202283	1202425
chrI	6446576	6446717
chrX	5523296	5523448
chrII	2832217	2832354
chrIV	11682857	11683028
chrII	1661451	1661591
chrIV	16492334	16492547
chrIV	8133646	8133835
chrIII	8795704	8795865
chrIV	255586	255739
chrX	5429364	5429628
chrIII	1249315	1249462
chrV	1743572	1743736
chrX	8404224	8404534
