chrXVI	775718	775913
chrM	79272	79957
chrXVI	921171	921387
chrXIV	495077	495369
chrVI	101332	101523
chrXI	99359	99554
chrII	477230	477436
chrIV	946228	946487
chrX	197252	197462
chrXIV	632554	632741
chrXV	479925	480394
chrVIII	512124	512413
chrVII	1084218	1084572
chrXI	630489	630704
chrXI	231198	231600
chrXVI	502852	503288
chrXI	68237	68630
chrXI	578874	579112
chrXII	468427	468798
chrIV	410305	410531
chrX	651526	651752
chrIV	321807	322118
chrXIII	70178	70473
chrII	405806	406082
chrVII	609914	610222
chrX	531731	531936
chrVII	856735	856991
chrIX	197523	197737
chrXI	458487	458701
chrXIV	405723	405999
chrXV	925163	925481
chrX	90331	90640
chrIV	368866	369171
chrIV	83475	83680
chrXVI	731868	732160
chrIV	757738	758054
chrXII	125098	125335
chrXII	423994	424392
chrXIII	901356	901605
chrXV	274543	274858
chrII	490572	490794
chrXIII	653535	653760
chrII	311520	311754
chrIX	248770	249457
chrIII	295390	295635
chrXI	127119	127337
chrII	415355	415656
chrXII	481958	482253
chrVII	987157	987553
chrIX	177571	177817
chrVII	836861	837087
chrIV	893972	894343
chrXV	292165	292402
chrXIII	168714	168918
chrXVI	947831	948066
chrX	623135	623374
chrVII	271399	272145
chrXV	79897	80209
chrXII	0	347
chrXIII	91156	91348
chrV	117691	118169
chrXVI	653934	654182
chrII	36326	36584
chrI	166205	166420
chrXI	618786	618989
chrVII	310676	310956
chrIX	0	359
chrIV	411383	411566
chrIII	227866	228083
chrXII	489288	489562
chrXVI	56070	56339
chrI	220178	220384
chrXI	216778	217162
chrXII	759031	759361
chrXV	882189	882442
chrXV	866742	867108
chrXIV	547036	547235
chrXIII	774215	774500
chrXV	1091001	1091291
chrXII	84041	84455
chrI	182459	182674
chrIII	142667	142853
chrIV	117355	117652
chrXV	631833	632118
chrV	311918	312145
chrXIII	472853	473207
chrV	441948	442500
chrVII	397983	398183
chrXII	723309	723562
chrXII	589043	589264
chrIII	316314	316620
chrXVI	689488	689744
chrIX	174947	175140
chrX	355290	355567
chrX	157406	157608
chrXVI	744210	744396
chrII	168091	168320
chrM	60575	60913
chrXVI	76282	76561
chrXII	341023	341255
chrXI	162399	162620
chrVIII	146179	146363
chrXI	322523	322763
chrIV	955298	955564
