# Assembly name:  MGSCv37
# Organism name:  Mus musculus (house mouse)
# Infraspecific name:  strain=C57BL/6J
# Taxid:          10090
# BioProject:     PRJNA169
# Submitter:      Genome Reference Consortium
# Date:           2010-10-21
# Synonyms:       mm9	
# Assembly type:  haploid-with-alt-loci
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# GenBank assembly accession: GCA_000001635.1
# RefSeq assembly accession: GCF_000001635.18
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000000055.1	GCF_000000055.16	Primary Assembly (C57BL/6J)
## GCA_000000415.1	GCF_000000415.1	129/J
## GCA_000000435.1	GCF_000000435.2	129/Sv
## GCA_000000395.1	GCF_000000395.3	129/SvEvTac
## GCA_000000445.1	GCF_000000445.2	129/SvJ
## GCA_000000495.1	GCF_000000495.3	129P2/OlaHsd
## GCA_000000485.1	GCF_000000485.2	129S7/SvEv
## GCA_000000325.1	GCF_000000325.5	A/J
## GCA_000000425.1	GCF_000000425.1	AKR/J
## GCA_000000335.1	GCF_000000335.8	Balb/c
## GCA_000000465.1	GCF_000000465.2	Cast/Ei
## GCA_000000355.1	GCF_000000355.8	NOD
## GCA_000000505.1	GCF_000000505.1	Spret/Ei
## GCA_000000385.1	GCF_000000385.9	unknown strain
## GCA_000004175.1	GCF_000004175.1	non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
1	assembled-molecule	1	Chromosome	CM000994.1	=	NC_000067.5	C57BL/6J	197195432	chr1
2	assembled-molecule	2	Chromosome	CM000995.1	=	NC_000068.6	C57BL/6J	181748087	chr2
3	assembled-molecule	3	Chromosome	CM000996.1	=	NC_000069.5	C57BL/6J	159599783	chr3
4	assembled-molecule	4	Chromosome	CM000997.1	=	NC_000070.5	C57BL/6J	155630120	chr4
5	assembled-molecule	5	Chromosome	CM000998.1	=	NC_000071.5	C57BL/6J	152537259	chr5
6	assembled-molecule	6	Chromosome	CM000999.1	=	NC_000072.5	C57BL/6J	149517037	chr6
7	assembled-molecule	7	Chromosome	CM001000.1	=	NC_000073.5	C57BL/6J	152524553	chr7
8	assembled-molecule	8	Chromosome	CM001001.1	=	NC_000074.5	C57BL/6J	131738871	chr8
9	assembled-molecule	9	Chromosome	CM001002.1	=	NC_000075.5	C57BL/6J	124076172	chr9
10	assembled-molecule	10	Chromosome	CM001003.1	=	NC_000076.5	C57BL/6J	129993255	chr10
11	assembled-molecule	11	Chromosome	CM001004.1	=	NC_000077.5	C57BL/6J	121843856	chr11
12	assembled-molecule	12	Chromosome	CM001005.1	=	NC_000078.5	C57BL/6J	121257530	chr12
13	assembled-molecule	13	Chromosome	CM001006.1	=	NC_000079.5	C57BL/6J	120284312	chr13
14	assembled-molecule	14	Chromosome	CM001007.1	=	NC_000080.5	C57BL/6J	125194864	chr14
15	assembled-molecule	15	Chromosome	CM001008.1	=	NC_000081.5	C57BL/6J	103494974	chr15
16	assembled-molecule	16	Chromosome	CM001009.1	=	NC_000082.5	C57BL/6J	98319150	chr16
17	assembled-molecule	17	Chromosome	CM001010.1	=	NC_000083.5	C57BL/6J	95272651	chr17
