chrIV	12891683	12891767
chrV	1104634	1105037
chrII	632696	632803
chrIII	8863148	8863226
chrX	17311594	17311823
chrX	7078981	7079054
chrIII	424808	424865
chrII	14339073	14339137
chrII	20	157
chrV	17115791	17116033
chrX	3007373	3007623
chrIV	6469173	6469235
chrIII	20	117
chrII	13985068	13985173
chrIII	1302726	1302810
chrII	3290674	3290769
chrI	13231048	13231663
chrIV	8469175	8469264
chrII	13598801	13598907
chrII	233	350
chrX	7077690	7077945
chrIV	5691296	5691448
chrX	2057919	2058360
chrIII	8344402	8344648
chrV	7989564	7989679
chrIV	14480561	14480665
chrI	5152873	5153064
chrI	3171663	3171722
chrV	11274410	11274477
chrIV	2829690	2829918
chrIII	425042	425105
chrII	10336277	10336384
chrI	4573296	4573827
chrI	3172241	3172323
chrII	9633010	9633111
chrII	13986364	13986479
chrIV	15059603	15059672
chrIV	15765672	15765773
chrV	14756125	14756183
chrII	13599066	13599126
chrIV	4920752	4920844
chrI	10462706	10462784
chrIV	12638063	12638421
chrX	12277942	12278061
chrIII	8863781	8863860
chrIV	14779856	14780134
chrI	22	414
chrV	5284729	5284952
chrX	5056562	5057063
chrX	20	246
chrV	5283809	5284240
chrII	3796702	3796970
chrX	143112	143625
chrI	10131339	10131393
chrIII	1019371	1019454
chrII	14337734	14337994
chrV	6942031	6942097
chrIII	1300206	1300367
chrIV	13360798	13361158
chrI	915207	915261
chrIV	12638473	12638536
chrX	15482145	15482220
chrIV	2828931	2829005
chrIV	15827494	15827559
chrII	9632622	9632950
chrIV	8468728	8469012
chrX	15809942	15809996
chrV	17384487	17384540
chrI	11933500	11933554
chrX	11785806	11785860
chrIV	15895894	15896201
chrIV	15409425	15409736
chrX	14908194	14908446
chrV	3099099	3099163
chrI	5153327	5153709
chrIV	13361568	13361754
chrIII	13783617	13783772
chrII	9405118	9405240
chrV	10446814	10446899
chrX	14909118	14909281
chrX	11888075	11888133
chrIII	425435	425538
chrIV	15374661	15374717
chrIV	13361827	13361927
chrV	5284424	5284549
chrIV	2829120	2829283
chrV	658255	658394
chrV	16707481	16707558
chrIV	7441121	7441258
chrIV	9047155	9047289
chrIV	16911015	16911110
chrIII	10224835	10225482
chrII	14338642	14338802
chrX	1375142	1375408
chrIII	1301421	1301583
chrX	7078033	7078122
chrIII	3770531	3770588
chrIV	14781342	14781412
chrX	10361256	10361401
chrIII	1299787	1300048
chrII	15279243	15279374
chrV	5285284	5285580
chrIV	15166796	15166985
chrV	266377	266442
chrII	3796493	3796598
chrI	5152628	5152817
chrX	142972	143060
chrIV	10943551	10943765
chrI	6647909	6648317
chrIV	3366804	3367088
chrX	11788790	11788858
chrII	12749821	12749960
chrI	14005391	14005449
chrII	13985293	13985411
chrIV	11071997	11072351
chrV	24	221
chrIII	426098	426178
chrIV	14480819	14480964
chrX	15810934	15811142
chrV	17428902	17428988
chrII	13599343	13599446
chrV	14755618	14755720
chrV	17385114	17385183
chrI	14686497	14686789
chrIV	16458504	16458635
chrI	11470942	11470998
chrX	15810782	15810882
chrI	3171846	3171899
chrIV	2755950	2756007
chrX	5057125	5057227
chrIV	2756203	2756350
chrV	6942240	6942326
chrV	1638915	1639007
chrV	17384841	17384939
chrIV	9048184	9048318
chrIV	9047403	9047519
chrI	10952912	10952971
chrV	13440405	13440617
chrV	265735	265871
chrII	14338154	14338292
chrII	629049	629110
chrIV	11070987	11071117
chrIV	17493630	17493809
chrV	16708016	16708193
chrV	12510023	12510418
chrX	2002808	2003464
chrX	15635294	15635373
chrII	3994692	3994793
chrV	6072319	6072807
chrIII	931279	931681
chrIII	425592	425743
chrV	20924009	20924159
chrX	17718819	17718922
chrII	13599790	13599864
chrV	7913480	7913546
chrII	11759340	11759625
chrII	12844580	12844683
chrX	168669	168841
chrII	2716914	2716969
chrII	5145994	5146051
chrIV	15059167	15059536
chrIV	2830167	2830527
chrV	17384712	17384779
chrIV	11071368	11071487
chrV	16708912	16709079
chrV	9438835	9438937
chrII	5145356	5145548
chrV	16709287	16709399
chrX	14908515	14908707
chrIII	12143949	12144001
chrIV	14780204	14780256
chrX	14908908	14909056
chrII	9632141	9632329
chrIV	9048525	9048658
chrX	5542321	5542376
chrIV	1831112	1831168
chrV	6088867	6089213
chrIV	12891406	12891601
chrI	3990312	3990394
chrIV	2830006	2830085
chrIV	1831236	1831569
chrV	265204	265504
chrI	933501	934705
chrX	5056305	5056489
chrV	6173038	6173093
chrI	14687009	14687323
chrIII	7594800	7595119
chrIV	15374328	15374398
chrIII	10224715	10224767
chrX	13795179	13795607
chrIII	13447045	13447833
chrIV	17492438	17492490
chrIV	13464024	13464149
chrI	10131483	10131601
chrV	265085	265147
chrII	5145029	5145099
chrII	9631892	9631951
chrX	3631443	3631507
chrIV	2829384	2829515
chrV	15320803	15321349
chrII	8460185	8460238
chrI	7869038	7869488
chrX	15808521	15808612
chrIV	13361270	13361379
chrIV	15374203	15374261
chrIV	10945802	10946129
chrV	3098978	3099042
chrII	8460295	8460413
chrIII	1302476	1302655
chrII	12843863	12844017
chrV	16708386	16708579
chrIV	21	135
chrIII	3897130	3897691
chrIV	15374460	15374602
chrIV	2755544	2755756
chrV	14756746	14756899
chrIV	13549460	13549524
chrIV	11071550	11071933
chrV	17311297	17311353
chrV	5285014	5285137
chrX	11787354	11787447
chrIV	10943831	10944125
chrIV	13847391	13847573
chrII	10336080	10336211
